date,song,artist,region,rank,views,likes,genre
2025-02-02,nuevayol,bad bunny,Spain,29,819650079,32056154,Flamenco
2025-02-02,dtmf,bad bunny,Spain,137,132771098,5446173,Reggaeton
2025-02-02,baile inolvidable,bad bunny,Spain,144,227648264,10103851,Reggaeton
2025-02-02,capaz,alleh & yorghaki,Spain,29,1203079710,38155380,Latin
2025-02-02,velda,"bad bunny, omar courtz & dei v",Spain,70,400396309,17325864,Pop
2025-02-02,voy a llevarte pa pr,bad bunny,Spain,107,458275098,21045734,Flamenco
2025-02-02,angelito,bad gyal & trueno,Spain,133,359394718,11884268,Latin
2025-02-02,mi refe,beele & ovy on the drums,Spain,191,421539253,21027021,Latin
2025-02-02,la reina,lola indigo,Spain,78,409317478,15237889,Latin
2025-02-02,weltita,bad bunny & chuwi,Spain,119,376855071,11825785,Pop
2025-02-02,corazon puro,"rvfv, morad & rels b",Spain,157,388274668,12601649,Pop
2025-02-02,eoo,bad bunny,Spain,172,242812062,8409190,Flamenco
2025-02-02,el ingeniero,alleh & yorghaki,Spain,73,122912616,4129928,Pop
2025-02-02,donde te escondes?,yapi,Spain,172,142213645,6047288,Latin
2025-02-02,si antes te hubiera conocido,karol g,Spain,16,747032645,36089058,Latin
2025-02-02,imaginate,danny ocean & kapo,Spain,39,202915719,7197398,Flamenco
2025-02-02,cafe con ron,bad bunny & los pleneros de la cresta,Spain,54,85549528,3525661,Latin
2025-02-02,segundo intento,aitana,Spain,145,368380297,14311370,Pop
2025-02-02,kloufrens,bad bunny,Spain,52,495838286,17348546,Pop
2025-02-02,que pasaria...,rauw alejandro & bad bunny,Spain,134,2458742220,112000728,Pop
2025-02-02,gran via,quevedo & aitana,Spain,30,2279530585,69314323,Reggaeton
2025-02-02,una noche,alleh & yorghaki,Spain,175,290103306,13364564,Reggaeton
2025-02-02,perfumito nuevo,bad bunny & rainao,Spain,198,211683989,8169460,Pop
2025-02-02,apt.,rose & bruno mars,Spain,165,75523752,2513993,Flamenco
2025-02-02,el club,bad bunny,Spain,11,391512637,12453181,Pop
2025-01-26,dtmf,bad bunny,Spain,197,389621765,14214124,Flamenco
2025-01-26,nuevayol,bad bunny,Spain,67,441284333,18421209,Pop
2025-01-26,baile inolvidable,bad bunny,Spain,176,277005240,9678482,Latin
2025-01-26,velda,"bad bunny, omar courtz & dei v",Spain,45,493834334,16313504,Latin
2025-01-26,capaz,alleh & yorghaki,Spain,55,157398316,5836850,Reggaeton
2025-01-26,voy a llevarte pa pr,bad bunny,Spain,104,93312237,3549139,Pop
2025-01-26,angelito,bad gyal & trueno,Spain,171,319520419,11722504,Latin
2025-01-26,mi refe,beele & ovy on the drums,Spain,91,479925569,23995630,Reggaeton
2025-01-26,weltita,bad bunny & chuwi,Spain,185,9491768660,427474808,Latin
2025-01-26,la reina,lola indigo,Spain,121,253814778,10947760,Latin
2025-01-26,eoo,bad bunny,Spain,125,99183382,3648245,Latin
2025-01-26,cafe con ron,bad bunny & los pleneros de la cresta,Spain,194,200216411,6697682,Pop
2025-01-26,imaginate,danny ocean & kapo,Spain,137,191490170,7683536,Reggaeton
2025-01-26,kloufrens,bad bunny,Spain,189,425892785,13423727,Reggaeton
2025-01-26,el ingeniero,alleh & yorghaki,Spain,176,8931035340,297356045,Flamenco
2025-01-26,perfumito nuevo,bad bunny & rainao,Spain,144,469637390,15228418,Latin
2025-01-26,el club,bad bunny,Spain,169,364938176,14779119,Flamenco
2025-01-26,que pasaria...,rauw alejandro & bad bunny,Spain,21,305826091,12031751,Latin
2025-01-26,si antes te hubiera conocido,karol g,Spain,31,419129811,14417724,Flamenco
2025-01-26,degenere,myke towers featuring benny blanco,Spain,154,24306282,800605,Reggaeton
2025-01-26,gran via,quevedo & aitana,Spain,158,247635391,7540281,Flamenco
